"Domain","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Bacteria","Bacteria_none","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus hispanicus"
"Bacteria","Bacteria_none","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus guangzhouensis"
"Bacteria","Bacteria_none","Firmicutes","Bacilli","Bacillales","Bacillaceae","Salicibibacter","Salicibibacter halophilus"
"Bacteria","Bacteria_none","Firmicutes","Bacilli","Bacillales","Planococcaceae","Ureibacillus","Ureibacillus thermosphaericus"
"Bacteria","Bacteria_none","Cyanobacteria","Cyanobacteria_Incertae_sedis","Nostocales","Dapisostemonaceae","Dapisostemon","Dapisostemon apicaliramis"
"Bacteria","Bacteria_none","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus haemolyticus"
"Bacteria","Bacteria_none","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Gordonibacter","Gordonibacter urolithinfaciens"
"Bacteria","Bacteria_none","Proteobacteria","Gammaproteobacteria","Enterobacterales","Budviciaceae","Jinshanibacter","Jinshanibacter zhutongyuii"
"Bacteria","Bacteria_none","Proteobacteria","Deltaproteobacteria","Myxococcales","Vulgatibacteraceae","Vulgatibacter","Vulgatibacter incomptus"
"Bacteria","Bacteria_none","Actinobacteria","Thermoleophilia","Miltoncostaeales","Miltoncostaeaceae","Miltoncostaea","Miltoncostaea marina"
"Bacteria","Bacteria_none","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus terrigena"
"Bacteria","Bacteria_none","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Olsenella","Olsenella lakotia"
"Bacteria","Bacteria_none","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus terreus"
"Bacteria","Bacteria_none","Firmicutes","Bacilli","Bacillales","Bacillaceae","Siminovitchia","Siminovitchia fordii"
"Bacteria","Bacteria_none","Actinobacteria","Thermoleophilia","Solirubrobacterales","Conexibacteraceae","Conexibacter","Conexibacter arvalis"
"Bacteria","Bacteria_none","Actinobacteria","Actinomycetia","Corynebacteriales","Mycobacteriaceae","Mycolicibacterium","Mycolicibacterium duvalii"
"Bacteria","Bacteria_none","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus hyicus"
"Bacteria","Bacteria_none","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus intermedius"
"Bacteria","Bacteria_none","Balneolaeota","Balneolia","Balneolales","Balneolaceae","Rhodohalobacter","Rhodohalobacter barkolensis"
"Bacteria","Bacteria_none","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Nitrobacter","Nitrobacter hamburgensis"
"Bacteria","Bacteria_none","Firmicutes","Bacilli","Bacillales","Bacillaceae","Virgibacillus","Virgibacillus zhanjiangensis"
"Bacteria","Bacteria_none","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Castellaniella","Castellaniella defragrans"
